seed,initialization,method,epoch,lr,val_macro_accuracy,val_accuracy,train_loss,optimizer_updates,train_seconds,epoch_seconds_with_probe,swaps,added_foreground,removed_foreground
0,imagenet,ce,1,1e-05,0.753,0.753,2.042247392654419,47,92.00338201993145,108.03849465190433,0.0,0.0,0.0
0,imagenet,ce,2,2e-05,0.9359999999999999,0.936,1.1310674095153808,47,95.32828910392709,112.46860272088088,0.0,0.0,0.0
0,imagenet,ce,3,3.0000000000000004e-05,0.96,0.96,0.7156375131607056,47,90.39027494192123,106.24553293385543,0.0,0.0,0.0
0,imagenet,ce,4,4e-05,0.9570000000000001,0.957,0.6195590190887451,47,91.21655429690145,107.37308736587875,0.0,0.0,0.0
0,imagenet,ce,5,5e-05,0.961,0.961,0.5745373490651449,47,89.83567629684694,106.06343968282454,0.0,0.0,0.0
0,imagenet,ce,6,5e-05,0.9650000000000001,0.965,0.5490258388519287,47,90.0601007391233,106.23958728415892,0.0,0.0,0.0
0,imagenet,ce,7,4.9986318311391235e-05,0.9640000000000001,0.964,0.5369788829485576,47,90.65062491921708,106.6157052339986,0.0,0.0,0.0
0,imagenet,ce,8,4.994528852626726e-05,0.97,0.97,0.5298858499526977,47,90.29375576693565,106.26716293394566,0.0,0.0,0.0
0,imagenet,ce,9,4.987695646966835e-05,0.9640000000000001,0.964,0.5249748759269715,47,90.65787559607998,106.29828620213084,0.0,0.0,0.0
0,imagenet,ce,10,4.9781398459792115e-05,0.9650000000000001,0.965,0.5193460033734639,47,89.56406525708735,113.59769484400749,0.0,0.0,0.0
0,imagenet,ce,11,4.96587212227557e-05,0.966,0.966,0.5191604064305624,47,91.27493345295079,107.09283246193081,0.0,0.0,0.0
0,imagenet,ce,12,4.950906177339638e-05,0.9650000000000001,0.965,0.5145378630956013,47,90.06273349700496,106.2273096498102,0.0,0.0,0.0
0,imagenet,ce,13,4.9332587262243413e-05,0.9649999999999999,0.965,0.512791288057963,47,90.04034656309523,106.04638621490449,0.0,0.0,0.0
0,imagenet,ce,14,4.912949478883223e-05,0.9620000000000001,0.962,0.5102904485066732,47,90.24240911589004,106.29065717593767,0.0,0.0,0.0
0,imagenet,ce,15,4.890001118156936e-05,0.9559999999999998,0.956,0.5103759797414144,47,89.4514190419577,105.29248838615604,0.0,0.0,0.0
0,imagenet,ce,16,4.864439274439401e-05,0.9629999999999999,0.963,0.5098389156659444,47,90.52049061004072,106.3569656019099,0.0,0.0,0.0
0,imagenet,ce,17,4.836292497051926e-05,0.9630000000000001,0.963,0.5087971590360005,47,90.01595762604848,105.92016095202416,0.0,0.0,0.0
0,imagenet,ce,18,4.8055922223572505e-05,0.9690000000000001,0.969,0.5065416520436605,47,90.53095687692985,106.7280857078731,0.0,0.0,0.0
0,imagenet,ce,19,4.7723727386491355e-05,0.966,0.966,0.5061840618451436,47,90.15909401094541,106.0378948438447,0.0,0.0,0.0
0,imagenet,ce,20,4.7366711478567095e-05,0.958,0.958,0.5077065229415894,47,90.85215095803142,107.06848006998189,0.0,0.0,0.0
0,imagenet,ce,21,4.6985273241063454e-05,0.962,0.962,0.5072059721946717,47,90.56497057201341,107.20844690315425,0.0,0.0,0.0
0,imagenet,ce,22,4.657983869187342e-05,0.9570000000000001,0.957,0.5073035233815512,47,91.3158515249379,107.44642720906995,0.0,0.0,0.0
